"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"dk-referral-message","dk-referral-message","dk-referral-message","","","",0,*,"","","","null {[]} {[]}
","DK Logical Referral Message","Logisk FHIR-model for dansk henvisningsmeddelelse","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"dk-referral-message","dk-referral-message.receiver.modifierExtension","dk-referral-message.receiver.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.receiver.sorId","dk-referral-message.receiver.sorId","","","",1,1,"","","","string {[]} {[]}
","SOR-id","SOR-id","","","","","","","","","",,,,,"",,,,"dk-referral-message.receiver.sorId",1,1,"",""
"dk-referral-message","dk-referral-message.receiver.organizationName","dk-referral-message.receiver.organizationName","","","",1,1,"","","","string {[]} {[]}
","Organisationsnavn","Organisationsnavn","","","","","","","","","",,,,,"",,,,"dk-referral-message.receiver.organizationName",1,1,"",""
"dk-referral-message","dk-referral-message.receiver.departmentName","dk-referral-message.receiver.departmentName","","","",0,1,"","","","string {[]} {[]}
","Afdeling","Afdeling","","","","","","","","","",,,,,"",,,,"dk-referral-message.receiver.departmentName",0,1,"",""
"dk-referral-message","dk-referral-message.receiver.healthcareServiceType","dk-referral-message.receiver.healthcareServiceType","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Speciale/funktion","Speciale/funktion","","","","","","","","","",,,,,"",,,,"dk-referral-message.receiver.healthcareServiceType",0,1,"",""
"dk-referral-message","dk-referral-message.patient","dk-referral-message.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","Patient","Patient","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dk-referral-message","dk-referral-message.patient.id","dk-referral-message.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dk-referral-message","dk-referral-message.patient.extension","dk-referral-message.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.patient.modifierExtension","dk-referral-message.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.patient.cpr","dk-referral-message.patient.cpr","","","",1,1,"","","","string {[]} {[]}
","CPR-nummer","CPR-nummer","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.cpr",1,1,"",""
"dk-referral-message","dk-referral-message.patient.givenName","dk-referral-message.patient.givenName","","","",1,1,"","","","string {[]} {[]}
","Fornavn","Fornavn","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.givenName",1,1,"",""
"dk-referral-message","dk-referral-message.patient.familyName","dk-referral-message.patient.familyName","","","",1,1,"","","","string {[]} {[]}
","Efternavn","Efternavn","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.familyName",1,1,"",""
"dk-referral-message","dk-referral-message.patient.birthDate","dk-referral-message.patient.birthDate","","","",0,1,"","","","date {[]} {[]}
","Fødselsdato","Fødselsdato","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.birthDate",0,1,"",""
"dk-referral-message","dk-referral-message.patient.gender","dk-referral-message.patient.gender","","","",0,1,"","","","code {[]} {[]}
","Køn","Køn","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.gender",0,1,"",""
"dk-referral-message","dk-referral-message.patient.address","dk-referral-message.patient.address","","","",0,1,"","","","string {[]} {[]}
","Adresse","Adresse","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.address",0,1,"",""
"dk-referral-message","dk-referral-message.patient.phone","dk-referral-message.patient.phone","","","",0,1,"","","","string {[]} {[]}
","Telefonnummer","Telefonnummer","","","","","","","","","",,,,,"",,,,"dk-referral-message.patient.phone",0,1,"",""
"dk-referral-message","dk-referral-message.referral","dk-referral-message.referral","","","",1,1,"","","","BackboneElement {[]} {[]}
","Henvisning","Henvisning","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dk-referral-message","dk-referral-message.referral.id","dk-referral-message.referral.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dk-referral-message","dk-referral-message.referral.extension","dk-referral-message.referral.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.modifierExtension","dk-referral-message.referral.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.referralIdentifier","dk-referral-message.referral.referralIdentifier","","","",1,1,"","","","string {[]} {[]}
","Henvisnings-id","Henvisnings-id","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.referralIdentifier",1,1,"",""
"dk-referral-message","dk-referral-message.referral.referralType","dk-referral-message.referral.referralType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Henvisningstype","Henvisningstype","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.referralType",1,1,"",""
"dk-referral-message","dk-referral-message.referral.status","dk-referral-message.referral.status","","","",1,1,"","","","code {[]} {[]}
","Status","Status","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.status",1,1,"",""
"dk-referral-message","dk-referral-message.referral.priority","dk-referral-message.referral.priority","","","",0,1,"","","","code {[]} {[]}
","Prioritet","Prioritet","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.priority",0,1,"",""
"dk-referral-message","dk-referral-message.referral.authoredOn","dk-referral-message.referral.authoredOn","","","",1,1,"","","","dateTime {[]} {[]}
","Oprettelsestidspunkt","Oprettelsestidspunkt","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.authoredOn",1,1,"",""
"dk-referral-message","dk-referral-message.referral.clinicalInformation","dk-referral-message.referral.clinicalInformation","","","",0,1,"","","","string {[]} {[]}
","Kliniske oplysninger","Kliniske oplysninger","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.clinicalInformation",0,1,"",""
"dk-referral-message","dk-referral-message.referral.anamnesis","dk-referral-message.referral.anamnesis","","","",0,1,"","","","string {[]} {[]}
","Anamnese","Anamnese","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.anamnesis",0,1,"",""
"dk-referral-message","dk-referral-message.referral.objectiveFindings","dk-referral-message.referral.objectiveFindings","","","",0,1,"","","","string {[]} {[]}
","Objektive fund","Objektive fund","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.objectiveFindings",0,1,"",""
"dk-referral-message","dk-referral-message.referral.currentMedication","dk-referral-message.referral.currentMedication","","","",0,1,"","","","string {[]} {[]}
","Aktuel medicin","Aktuel medicin","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.currentMedication",0,1,"",""
"dk-referral-message","dk-referral-message.referral.allergies","dk-referral-message.referral.allergies","","","",0,1,"","","","string {[]} {[]}
","Allergier","Allergier","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.allergies",0,1,"",""
"dk-referral-message","dk-referral-message.referral.requestedService","dk-referral-message.referral.requestedService","","","",1,1,"","","","BackboneElement {[]} {[]}
","Ønsket ydelse","Ønsket ydelse","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.requestedService",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dk-referral-message","dk-referral-message.referral.requestedService.id","dk-referral-message.referral.requestedService.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dk-referral-message","dk-referral-message.referral.requestedService.extension","dk-referral-message.referral.requestedService.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.requestedService.modifierExtension","dk-referral-message.referral.requestedService.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.requestedService.specialty","dk-referral-message.referral.requestedService.specialty","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Speciale","Speciale","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.requestedService.specialty",0,1,"",""
"dk-referral-message","dk-referral-message.referral.requestedService.serviceCode","dk-referral-message.referral.requestedService.serviceCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Ydelse","Ydelse","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.requestedService.serviceCode",0,1,"",""
"dk-referral-message","dk-referral-message.referral.requestedService.requestedExamination","dk-referral-message.referral.requestedService.requestedExamination","","","",0,1,"","","","string {[]} {[]}
","Ønsket undersøgelse","Ønsket undersøgelse","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.requestedService.requestedExamination",0,1,"",""
"dk-referral-message","dk-referral-message.referral.requestedService.requestedTreatment","dk-referral-message.referral.requestedService.requestedTreatment","","","",0,1,"","","","string {[]} {[]}
","Ønsket behandling","Ønsket behandling","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.requestedService.requestedTreatment",0,1,"",""
"dk-referral-message","dk-referral-message.referral.diagnosis","dk-referral-message.referral.diagnosis","","","",0,*,"","","","BackboneElement {[]} {[]}
","Diagnoser","Diagnoser","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.diagnosis",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dk-referral-message","dk-referral-message.referral.diagnosis.id","dk-referral-message.referral.diagnosis.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dk-referral-message","dk-referral-message.referral.diagnosis.extension","dk-referral-message.referral.diagnosis.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.diagnosis.modifierExtension","dk-referral-message.referral.diagnosis.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"dk-referral-message","dk-referral-message.referral.diagnosis.diagnosisCode","dk-referral-message.referral.diagnosis.diagnosisCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Diagnosekode","Diagnosekode","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.diagnosis.diagnosisCode",1,1,"",""
"dk-referral-message","dk-referral-message.referral.diagnosis.diagnosisText","dk-referral-message.referral.diagnosis.diagnosisText","","","",0,1,"","","","string {[]} {[]}
","Diagnosetekst","Diagnosetekst","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.diagnosis.diagnosisText",0,1,"",""
"dk-referral-message","dk-referral-message.referral.reasonForReferral","dk-referral-message.referral.reasonForReferral","","","",0,*,"","","","BackboneElement {[]} {[]}
","Henvisningsårsag","Henvisningsårsag","","","","","","","","","",,,,,"",,,,"dk-referral-message.referral.reasonForReferral",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"dk-referral-message","dk-referral-message.referral.reasonForReferral.id","dk-referral-message.referral.reasonForReferral.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"dk-referral-message","dk-referral-message.referral.reasonForReferral.extension","dk-referral-message.referral.reasonForReferral.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
